source,target,length
2549,4121,4.979490
4121,4154,2.434910
1736,2549,2.216273
533,4154,3.590385
4154,2784,0.740725
2784,533,3.972007
533,4794,4.826089
4794,4154,6.865551
4154,533,3.590385
533,1470,4.397479
1470,4794,3.439809
4794,533,4.826089
1868,1470,3.067648
1470,533,4.397479
533,1868,2.267765
1470,1868,3.067648
152,2535,4.059689
1868,152,2.396027
152,4718,4.002503
4718,2535,2.229722
2535,152,4.059689
4718,152,4.002503
152,3173,1.079763
3173,152,1.079763
152,1868,2.396027
1868,3173,3.139855
3173,1868,3.139855
1868,533,2.267765
3470,3173,4.321016
533,2784,3.972007
3260,3470,4.488805
2784,4121,2.685220
4121,275,4.415587
275,4491,0.525265
275,4121,4.415587
4121,1088,1.733854
1088,275,4.238532
275,1543,3.577511
1543,4491,3.432177
4491,275,0.525265
275,1088,4.238532
1543,275,3.577511
912,4491,3.377791
4491,1543,3.432177
1543,912,4.376943
912,1543,4.376943
1543,4025,1.569600
4491,912,3.377791
912,343,4.321722
343,4640,2.971590
2745,4548,3.336628
4548,2745,3.336628
213,3260,0.322509
4640,343,2.971590
343,4950,5.730727
4025,1854,2.247007
1854,2922,4.844884
2922,1854,4.844884
1854,2398,4.108268
2398,2922,2.869794
1396,1784,5.835150
4950,343,5.730727
343,912,4.321722
1396,4025,6.670481
2922,1396,3.545507
4025,1396,6.670481
1834,1784,3.211036
1784,1396,5.835150
1331,1834,3.316021
1834,2205,2.413848
2205,1331,1.057159
2666,2922,3.269058
2922,2398,2.869794
2398,2666,4.927229
2666,2205,1.889853
2205,1834,2.413848
1834,2666,2.432102
2666,1834,2.432102
1396,2922,3.545507
2922,2666,3.269058
1669,4450,4.883919
4450,1722,2.591434
1722,1669,3.936220
1669,1331,1.571080
1331,2205,1.057159
2205,1669,2.333216
1669,2666,3.588354
2666,2398,4.927229
2398,1669,4.838086
1669,2205,2.333216
2205,2666,1.889853
2666,1669,3.588354
1669,1722,3.936220
1722,848,1.899039
848,1669,4.669332
1669,2398,4.838086
2398,4450,1.795410
4450,1669,4.883919
4831,1669,2.954512
1669,848,4.669332
848,4831,6.253369
4831,1331,2.423852
1331,1669,1.571080
1669,4831,2.954512
1834,1331,3.316021
1331,4831,2.423852
3701,3579,2.711545
4619,3701,2.129011
4831,848,6.253369
1434,3579,2.157048
3579,3701,2.711545
3701,1434,1.749118
1434,1695,2.537683
1695,3579,0.781686
3579,1434,2.157048
1434,3701,1.749118
3701,4619,2.129011
4619,1434,3.193718
1434,4619,3.193718
4065,1434,5.718133
4065,1695,3.903908
1695,1434,2.537683
